Transcript_ID	X1after	X1before	X2after	X2before	X3after	X3before	X4after	X4before	X5after	X5before	X6after	X6before	X7after	X7before
ENST00000426402.2	2.2200110407	1.6900057962	2.7462203106	3.0420331636	2.522839173	2.1471210579	3.0043341917	3.6742798514	2.9525758591	2.8850823195	3.0162484803	2.3171911725	1.8589954997	2.5921029729
ENST00000390371.3	1.8351479623	1.4916376378	3.5015537919	3.649178561	2.0131013176	3.4406599098	2.8317901095	3.2105525144	2.2503158533	3.4333066809	3.3200730396	2.7277157407	3.1996472201	3.2331564062
ENST00000620569.1	3.9771241956	3.7055577454	3.2946766178	3.3528291329	2.5300307778	2.9972309766	3.0216716002	3.608821068	3.9819439602	3.6973957519	3.553999375	3.5079341468	2.9458155531	2.9893715641
ENST00000455382.2	4.5368424353	4.8034750429	4.7840746702	5.1011962213	4.3753244658	4.2056271039	4.3031816314	5.0789086575	4.2642211354	4.7199828904	4.5168283254	4.3773181319	3.8867842371	5.3473609292
ENST00000390399.3	4.4974143726	4.5416573178	4.0171914701	4.3179986179	4.1172295821	4.4851240871	3.9682566755	4.7095498122	3.7155419865	3.5221185392	3.8884997355	3.7826392099	3.8096922546	4.0829069226
ENST00000390392.3	1.5036692984	2.0008437298	2.0575750404	2.389687949	2.0067899107	2.1840263323	2.0529896583	2.4731192997	2.2413276765	2.463274557	2.1857745904	2.1899953006	1.483519148	1.8289158686
ENST00000390430.2	3.2332929484	3.0063895922	3.1378100639	3.0538255544	1.8714257583	2.4203045302	3.3661683186	3.1826636976	3.5842048869	2.4304298029	3.4083314393	3.0328043823	1.9171452885	2.9387167479
ENST00000390428.3	2.8440581871	3.0623514331	2.5271929744	2.628096991	2.9115477845	1.6657293	3.0091984516	3.2540830232	3.2473609546	2.2935088021	3.2324658263	2.2402532616	2.7397552316	1.8689198215
ENST00000390375.2	2.69491807	2.9680760024	2.9309303147	2.9166390579	3.0710692953	3.9625952921	3.9047249284	4.6501671413	2.8435859429	2.7451146817	2.5457435481	2.6729864695	1.9526131313	2.4593266915
ENST00000390368.2	4.1606620801	4.0789428047	3.5385878253	3.959677434	2.5937433775	3.6572741407	3.5970901344	4.3347398787	3.6466811045	3.5771266613	3.3755121407	3.3397217576	3.4546496933	3.4982764017
ENST00000390454.2	3.4755129574	3.9124007725	2.9483335878	3.2620632655	2.7523889431	3.2049623305	2.6108606676	3.2389473199	3.8732718401	3.067833151	3.6872174945	2.7420277757	1.7452932745	3.2896589118
ENST00000390448.3	3.5608372116	3.4246265338	3.6672109125	3.8755441808	2.2754719735	3.4726567259	2.6345979148	3.3637457974	3.5245652211	3.3341677893	2.9714902135	3.2473533584	2.2436081551	2.9355804388
ENST00000390435.1	4.5863564323	4.4126460547	4.4409389135	4.2885357503	4.136790197	4.4298636446	4.4071963714	4.5730290818	4.7473014584	5.0641197524	4.1512175125	4.4226568647	3.9666058098	4.6547505804
ENST00000390400.2	5.8546913852	5.5779061225	4.879210735	4.8836696872	2.0818713358	2.2523096815	4.8515741587	5.5055797516	4.8200206403	4.6439716008	5.0840217319	4.7850535262	4.3387738142	4.5416882894
ENST00000617639.1	2.8113867681	2.3730969172	2.4327456588	2.4786560596	1.6905109626	1.691967355	2.0288767529	2.7348439946	2.7655665702	2.3847930731	1.8874277881	2.3011252078	2.0916050616	2.7751158775
ENST00000616518.1	2.2326883826	2.2902120537	1.6297482805	2.9942810174	1.1307002837	1.6083834666	2.3512721339	2.9698669847	2.4813170268	2.4211397989	2.3687320369	2.0315434108	1.1643164571	1.7758175268
ENST00000557168.1	1.741419525	1.6178438577	1.8066292701	2.280323883	2.0518245045	3.2178200841	1.6613391667	2.2244046075	3.0331428052	1.9749550833	2.086851688	1.2981304037	1.9355012365	2.1293753465
ENST00000390374.3	3.4093637793	3.0521097933	3.400264666	3.4339876289	2.4739531171	3.0654447863	3.2804203986	4.5225579929	3.4719417836	3.467005525	2.7254117962	2.5895358012	2.9998250626	3.2913442268
ENST00000390381.3	3.7706070759	3.7389515391	3.2759397285	3.644998352	2.9441462907	3.1221260144	3.4550049413	4.1516396689	4.1974880024	3.8637997231	3.3084540771	3.1695979535	3.5699649453	4.0567222424
ENST00000390357.3	4.5780631722	4.2694895286	4.137978879	4.2118532607	3.1906859661	4.0062082454	3.8067777286	4.2217843003	4.710266441	4.6578686234	4.2063462783	3.841751768	3.6975291989	4.8838162902
ENST00000390387.3	3.6009357518	2.8473014401	3.0415811838	3.23392793	2.7098243783	3.1669114325	2.2394102626	3.0511545499	3.7176490082	3.7237878892	2.5412224051	2.7176928718	2.4649139224	3.8180120166
ENST00000611462.1	1.0559036369	1.4697505545	3.9290524215	3.1128218811	3.4802909766	4.4399089889	1.2738440767	2.0246671892	4.2758041845	4.412009172	3.2060101871	2.843029099	3.8644238911	3.3656365526
ENST00000390441.2	5.6271982501	5.0869153619	4.9623361657	4.9118832894	4.2373572109	4.0313422588	5.2061938745	5.2262503321	4.7816534688	4.5392953177	4.7983979229	4.5522479458	4.4477246488	4.4839576219
ENST00000390426.2	4.5634876424	4.42292592	4.4707190614	4.5812970095	2.8847834961	3.143155018	4.4653737605	4.7977963872	4.6126355837	4.7504885977	4.2743734937	4.3735229357	3.4419880159	4.2419774313
ENST00000454561.2	3.0626743628	2.7452416355	2.0076404432	2.4291981581	1.7837583629	2.8598085774	3.269981661	3.7459902203	3.9707156348	3.5591613872	3.4296427425	3.2777869209	2.8447652596	3.2945075342
ENST00000422143.2	4.8246762182	4.9714561849	4.7613810243	5.0955911274	3.656439165	4.3779358176	3.8603967294	4.4053593404	5.0779522066	5.0496438356	4.4318034524	4.2927964705	4.8383114352	4.5304578401
ENST00000390440.2	4.0553952433	3.5956946068	3.67560143	4.2972941481	3.2861241256	3.4512506824	3.9066308871	4.3055693114	3.925828563	3.6886056055	3.5974954193	3.2998688503	2.4067325717	3.6296713556
ENST00000390433.1	4.5937899798	4.7385949192	4.769269247	4.8807540835	3.6457016586	3.9879211059	4.1290604125	4.81575473	5.0923469979	4.8473555662	4.871114233	4.1104801778	4.1369296104	4.6622852673
ENST00000390424.2	5.0198531138	5.0935179223	4.351267893	3.9296016552	3.5232984833	3.4791788137	3.3720884505	4.5885167667	3.9080250695	3.6500407328	4.0892015136	3.850149324	3.5955752683	3.3725481982
ENST00000390353.2	3.6683347411	3.560213592	3.1377625298	3.2276070875	3.1988037184	3.6930854561	3.1562315613	4.1418741645	3.5872209543	2.9982948092	3.4146767804	3.0902758982	3.5036540351	3.3595914481
ENST00000390444.1	3.8292305494	3.2619474668	3.8378423506	3.8484576939	4.8509893968	4.8030358357	3.3452544267	3.9985204792	4.1791845757	3.8163846685	3.562425612	3.7556994575	3.7318783488	3.5817368785
ENST00000390447.3	4.4017191989	4.6099558477	4.3202174875	4.5256492169	3.2336058728	3.5827125474	3.3750533368	3.7009944942	4.3919120372	3.6199528931	4.0984364021	3.7839175726	3.0140142196	3.9657104168
ENST00000390460.1	4.1368886079	4.0614997265	3.9999549151	4.2388938351	2.7464718626	3.7179121696	4.4821900162	5.0148417634	4.3820723469	3.3363548066	3.4990422176	3.2224089092	2.2320497842	3.2047636212
ENST00000390463.3	4.065236241	3.326939958	1.4044181469	3.4806787388	1.1781919579	2.891559172	1.6311974316	2.6935627841	3.4483591782	2.9262746433	3.2842327921	2.502373887	2.5424834146	2.5801792595
ENST00000390464.2	3.0418194543	2.5056775576	1.9123816098	2.0031596464	2.6731086216	3.2018753356	2.9666371846	3.7412728162	3.7558596579	3.2178402424	2.435399238	2.5229471115	2.8250305077	2.3373914091
ENST00000390465.2	4.27686883	3.976666075	2.9143234164	3.5695153959	2.6623900981	3.2780843939	3.4816864329	3.8776951779	3.8140889333	3.1755820842	3.3309598895	3.0071972958	3.3748864628	3.9595754339
ENST00000390468.1	4.0703463899	3.7679407667	3.2738112613	4.1484867509	3.1523732776	3.45287214	3.0129404726	3.9100514416	4.2202138535	3.6824047484	3.3162427878	2.7912868964	3.4452632081	2.8372146483
ENST00000390445.2	3.6926615277	3.7418121133	3.6628890794	3.7993049376	3.9985024269	4.567770547	4.4558729572	4.9502444338	3.7596565347	3.7173967667	3.9167154815	3.5231479059	3.4058698615	3.6981740185
ENST00000390451.2	4.2091725977	3.9670855856	3.2971884813	3.820607877	3.2586259545	3.3203243697	3.9961175377	4.5275395606	3.9386339542	3.4872805294	3.9266921255	3.6131780079	2.6057621771	3.1943707711
ENST00000390343.2	3.2815409915	3.3189285011	2.5620347833	3.1027017978	1.9657030298	2.7237289227	2.572751454	3.4860707437	3.1028260721	2.9872080657	2.6786961865	3.3019533951	1.939177672	3.0378548425
